tokens,ner_tags
"['Còn' 'tôi' 'thì' 'trình_tự' 'làm' 'theo' '17' 'xét_nghiệm' 'trong'
 'giấy' 'mà' 'cô' 'ấy' 'đã' 'ghi' 'với' 'lời' 'dặn' ':' '“' 'Nhớ' 'làm'
 'đủ' 'hết' 'các' 'xét_nghiệm' 'nha' 'em' '!' '”' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Rất' 'nhiều' 'chuyện' 'đau_đầu' 'hằng' 'ngày' 'vẫn' 'xảy' 'ra' 'quanh'
 'mình' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Giá_như' 'bệnh_tật' 'không' 'quật_ngã' 'anh' ',' 'có_lẽ' 'giờ' 'này'
 'anh' 'Tăng' 'vẫn' 'đang' 'còn' 'tẩn_mẩn' 'với' 'từng' 'bia_mộ' ','
 'từng' 'đồng_đội' 'mà' '25' 'năm' 'qua' 'anh' 'đã' 'gắn_bó' 'giữa'
 'bát_ngát' 'núi_rừng' '.']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Chúng_tôi' 'xem' 'đây' 'như' 'một' 'vụ' 'đấu_tranh' 'chống' 'tiêu_cực'
 'trong' 'bộ_máy' 'nhà_nước' 'của' 'chúng_tôi' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Trở_lại' 'chuyện' 'học_hành' 'của' 'Phú' ',' 'anh' 'Lộc' 'lục' 'tìm'
 'rồi' 'ôm' 'ra' 'một' 'tập' 'bài' 'kiểm_tra' 'toàn' 'điểm' '9' ',' 'điểm'
 '10' ';' 'các' 'bức' 'tranh' 'do' 'Phú' 'vẽ' 'và' 'những' 'quyển' 'vở'
 'của' 'Phú' 'học' 'hồi' 'cấp' 'I' 'đưa' 'cho' 'tôi' 'xem' 'rồi' 'khoe'
 ':' '""' 'Bây_giờ' 'lên' 'lớp' '6' 'phải' 'viết' 'nhanh' 'nên' 'chữ' 'của'
 'cháu' 'không' 'đẹp' 'như' 'trước' 'được' 'nữa' ',' 'chứ' 'hồi' 'lớp' '3'
 'cháu' 'được' 'giải' 'đặc_biệt' 'thi' 'vở' 'sạch' 'chữ' 'đẹp' 'toàn'
 'huyện' '""' '.']","[0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
"['Chúng_tôi' 'lần' 'khắp' ',' 'tính_đi_tính_lại' 'thấy' 'không' 'xong'
 '...']",[0 0 0 0 0 0 0 0 0]
"['Số' 'nghệ_sĩ' 'đặt' 'may' 'đồ' 'riêng' 'không' 'nhiều' ',' 'thị_trường'
 'chủ_yếu' 'là' 'cho' 'các' 'đoàn' 'hát' ',' 'đoàn' 'làm' 'phim'
 'cải_lương' '-' 'ca_nhạc' '-' 'phim_truyện' ',' 'đài_truyền_hình' ','
 'các' 'trường' 'sân_khấu' ',' 'những' 'hội_diễn' 'văn_nghệ' ',' 'những'
 'chương_trình' 'sân_khấu' 'hoá' '...' 'thuê' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
"['Bởi' 'với' 'ghép' 'thận' 'thì' 'thận' 'cho' 'phải' 'càng' 'tươi' 'càng'
 'tốt' ',' 'nhưng' 'với' 'ghép' 'giác_mạc' ',' 'giác_mạc' 'cho' 'có_thể'
 'được' 'lấy' 'từ' 'người' 'đã' 'chết' '6' 'g' 'đồng_hồ' ',' 'thậm_chí'
 '12' '-' '14' 'giờ' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['Trong' 'những' 'vòng_tay' 'yêu_thương' '.'],[0 0 0 0 0]
['Không' 'ngờ' 'rằng' 'trên' 'mũ' 'là' 'một' 'ngôi_sao' '.'],[0 0 0 0 0 0 0 0 0]
"['Về' 'nhà' ',' 'vợ' 'làm' 'cùng' 'trại' 'tạm' 'giam' 'hiểu' 'tâm_trạng'
 'chồng' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Chính' 'tại' 'những' 'buổi' 'tiệc' 'do' 'người' 'trong' 'giới' 'tổ_chức'
 ',' 'thế_giới' 'người_mẫu' 'mới' 'bộc_lộ' 'những' 'gì' 'mà' 'người_ta'
 'không' 'nhìn' 'thấy' 'trên' 'sàn_diễn' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Không' 'được' 'đứng_tên' 'mua_bán' 'chuyển_nhượng' 'đất_đai' 'nhà_cửa'
 ',' 'không' 'có' 'môn_bài' 'kinh_doanh' 'xuất_nhập_khẩu' ',' 'và' 'đáng'
 'lo' 'nhất' 'vẫn' 'là' 'chuyện' 'con_cái' 'không' 'được' 'vào' 'đại_học'
 'hoặc' 'nếu' 'vào' 'đại_học' 'phải' 'chịu' 'một' 'khoản' 'học_phí' 'như'
 'người' 'nước_ngoài' '(' 'cao' 'gấp' 'năm' 'lần' 'so' 'với' 'người'
 'Thái' ')' 'và' 'rất' 'khó' 'tìm' 'được' 'việc_làm' 'tại' 'các' 'công_sở'
 '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 7 8 0 0 0 0 0 0 0 0 0 0 0]"
"['Một' 'bữa' 'gặp' 'mưa' 'to' ',' 'Mỹ' 'ôm' 'thùng' 'kem' 'đứng' 'trú'
 'mưa' 'nhờ' 'dưới' 'một' 'căn' 'nhà' ',' 'chợt' 'nghe' 'trong' 'nhà' 'có'
 'tiếng_nói' '""' 'xem' 'cửa_rả' 'cẩn_thận' ',' 'kẻo' 'thằng' 'càrem' 'lẻn'
 'vô' 'trộm' 'hết' 'đồ' 'đó' '.']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
"['Được' 'biết' 'từ' 'lâu_nay' ',' 'người' 'dân' 'vùng' 'này' 'mua' 'vỏ'
 'bao' 'xi-măng' 'về' 'đập' 'sạch' ',' 'rồi' 'cắt' 'dán' 'thành' 'nhiều'
 'loại' 'bao' 'lớn_nhỏ' 'bỏ_mối' 'cho' 'các' 'quầy' 'hàng' 'tạp_hoá' 'ở'
 'Chợ' 'Lớn' 'để' 'đựng' 'đường' ',' 'đậu' ',' 'ớt' '...']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 0
 0 0 0 0 0]"
"['Đất' 'cấp' 'rồi' 'thì' 'đem' 'bán' ',' 'cố_tình' 'không' 'hợp_tác' 'với'
 'các' 'đơn_vị' 'được' 'giao' 'đất' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Có_lẽ' 'đã' 'thấy' 'mình' 'trong' 'gương' 'như' 'thế_nào' 'nên' 'Hương'
 'vẽ' 'khá' 'nhanh' 'và' 'giống' 'nữa' 'là' 'đằng' 'khác' '.']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
"['Nhật_ký' ',' 'trang' 'cuối_cùng']",[0 0 0 0]
"['Thế_là' 'họ' 'tính' 'bài' 'truyền' 'nghề' 'lặn' 'máy' 'cho' 'thanh_niên'
 'trong' 'làng' 'và' 'tạo_lập' '""' 'vệ_tinh' '""' 'để' 'khi' 'cần' 'họ'
 'thuê' 'đi' 'lặn' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Cả' 'ngày' 'ở' 'ngoài' 'đường' '“' 'canh_me' '”' 'có' 'ai' 'đào' 'đường'
 'không' 'để' 'dời' 'ống' 'nước' 'mà' '“' 'né' '”' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Xe' 'chạy' 'quanh_co' 'một' 'lúc' 'thì' 'đến' 'một' 'ngôi' 'nhà' ','
 'sau_này' 'tôi' 'mới' 'biết' 'là' 'số' 'nhà' '36' 'Lý' 'Nam' 'Đế' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 6 6 6 6 0]
['Khiêm' 'đã' 'chết' 'rồi' '!'],[1 0 0 0 0]
"['Toàn_bộ' 'chất_thải' 'của' 'bò' 'dùng' 'làm' 'phân_bón' ',' 'hộ' 'nuôi'
 'bò' 'hưởng' 'thu_nhập' 'từ' 'tiền' 'chăn_dắt' ',' 'cộng' 'với' 'tiền'
 'bán' 'phân' 'bò' 'được' '32' 'triệu' 'đồng' '/' 'năm' ';' 'bình_quân'
 'một' 'lao_động' 'chính' 'được' 'trên' '2' 'triệu' 'đồng' ',' 'lao_động'
 'phụ' 'thu_nhập' '1,5' 'triệu' '/' 'tháng' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
"['Theo' 'hợp_đồng' ',' 'họ' 'sẽ' 'được' 'nhận' 'toàn_bộ' 'số' 'tiền'
 'bảo_hiểm' 'từ' 'hãng' 'bảo_hiểm' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Mấy' 'ông' 'bố' ',' 'bà' 'mẹ' 'nâng_niu' 'mang' 'cho' 'con' 'từng' 'hộp'
 'cơm' 'được' 'Hội' 'Sinh_viên' 'phát' 'miễn_phí' 'cho' 'những' 'người'
 'ở' 'phòng' 'trọ' 'miễn_phí' '...']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Đơn' 'khởi_kiện' 'nộp' 'lên' 'toà_án' 'tỉnh' 'đã' 'năm' 'tháng' 'mà'
 'chưa' 'thấy' 'hồi_âm' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Anh' 'Tăng' 'đang' 'nằm' 'bệnh' ',' 'gương_mặt' 'và' 'cả' 'thân_hình'
 'phù_nề' 'lên' 'vì' 'bệnh' 'thận' 'và' 'nhiều' 'bệnh' 'khác' '.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Đã' 'thành_lệ' ',' 'sau' 'tiếng' 'còi' 'lệnh' 'của' 'ông' 'Lớc' ','
 'tiếng' 'chó' 'làng' 'sủa' 'râm_ran' ',' 'cả' 'làng' 'sáng' 'điện' '.']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
"['Đám' 'đông' 'hô' 'to' '""' 'Ubdul' '...' 'Ubdul' '...' '""' ',' 'nhưng'
 'tiếng' 'chuông' 'báo' 'hết' 'hiệp' 'kịp' 'cứu' '""' 'rắn' 'lì' 'đòn' '""'
 'khỏi' 'bị' 'knock-out' '.']",[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Dự_án' 'du_lịch' 'này' 'muốn' 'xây_dựng' 'ở' 'đây' 'một' '""' 'Đà_Lạt'
 'thứ' 'hai' '""' ',' 'một' 'vùng' 'nghỉ_dưỡng' 'thượng_hạng' 'trên'
 'thế_giới' ',' 'trải' 'ra' 'trên' 'diện_tích' 'rộng' 'tới' '5.000' 'ha'
 ',' 'với' 'hệ_thống' 'villa' 'hàng' 'trăm' 'cái' 'ẩn' 'trong' 'những'
 'mép' 'rừng' 'thông' ',' 'khách_sạn' 'năm' 'sao' ',' 'trung_tâm'
 'thương_mại' ',' 'casino' ',' 'sân' 'golf' 'thi_đấu' 'quốc_tế' ',' 'cáp'
 'treo' ',' 'trường' 'đua' 'ngựa' '...']","[0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"['Đó' 'là' 'một' 'phiên' 'chợ' 'kỳ_lạ' ':' 'hiện' 'ra' 'rồi' 'biến' 'mất'
 'trong' 'vài' 'giờ' 'ngắn_ngủi' 'mỗi' 'cuối' 'tuần' 'tại' 'trung_tâm'
 'thủ_đô' 'Berlin' ',' 'nước' 'Đức' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 5 0]
"['""' 'Có' ',' 'thỉnh_thoảng' 'nó' 'vẫn' 'gọi' 'điện' 'vào' 'số' 'nhà'
 'tôi' 'mà' '""' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Tôi' 'quẩy' 'balô' 'xuống' 'tàu' 'câu' 'mực' 'để' 'chuẩn_bị' 'chuyến'
 'hải_hành' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Chúng_tôi' 'giải_thích' 'đó' 'là' 'tên' 'mới' 'của' 'lãnh_tụ' 'Nguyễn'
 'Ái' 'Quốc' ',' 'rồi' 'phải' 'mang' 'ảnh' 'ra' 'so_sánh' 'làm'
 'bằng_chứng' 'mọi' 'người' 'mới' 'tin' '.']",[0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Mệt' 'quá' '!' '""' '.']",[0 0 0 0 0]
['Thuỳ' 'Trâm' 'đúng' 'là' 'người' 'như' 'tôi' 'nghĩ' '.'],[1 2 0 0 0 0 0 0 0]
"['""' 'Tui' 'lấy' 'giấy' 'cạctông' 'cắt' 'hình' 'lưỡi' 'kéo' 'đủ' 'kiểu'
 ',' 'giống' 'kéo' 'cắt' 'vải' 'có' ',' 'giống' 'lưỡi' 'câu' 'cũng' 'có'
 '...' '""' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Theo' 'một' 'lãnh_đạo' 'ngành' 'công_an' ',' 'để' 'thật_sự' 'giỏi' 'về'
 'nghề' 'giám_định' 'cháy' 'nổ' 'đòi_hỏi' 'người' 'giám_định' 'phải'
 'rành_rọt' 'về' 'toán_học' ',' 'vật_lý' ',' 'hoá_học' ',' 'kiến_trúc'
 '...']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Thanh' 'bắt_chuyện' 'với' 'Hùng' 'và' 'nói' ':' '""' 'Tôi' 'trông' 'ông'
 'quen_quen' '?' '""' '.']",[1 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
"['Bé' '5' 'tháng' 'rồi' 'mình' 'không' 'cần' 'pha' 'loãng' 'ra' 'nữa' ','
 'cũng' 'không' 'nên' 'thêm' 'đường' ',' 'chú_ý' 'lựa' 'cam' ',' 'quít'
 'ngọt' 'nhé' '!' '""' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Tính' 'chi_phí' 'vật_liệu' ',' 'tiền_công' ',' 'anh' 'Lộc' 'bảo' ':' '""'
 '70.000' 'đồng' '/' 'cái' 'kéo' 'dài' '2' 'm' '""' '.']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Đã' 'có' 'những' 'người' 'đi' 'qua' 'nhịp' 'cầu' 'đến' 'với' 'tôi' ','
 'nỗi' 'đau_khổ' 'và' 'đắng_cay' 'rớt' 'đi' 'mất' ',' 'chỉ' 'còn' 'niềm'
 'thương' 'giữa' 'con_người' 'với' 'con_người' '...' '”' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Qua' 'những' 'lần' 'từ' 'Sài_Gòn' 'về' 'Quảng_Ngãi' 'kiểm_tra'
 'công_việc' ',' 'Sophie' 'và' 'Jane' 'thường' 'trò_chuyện' 'với' 'Mai'
 ',' 'cảm_nhận' 'ngọn' 'lửa' 'sống' 'và' 'niềm' 'tin' 'mãnh_liệt' 'từ'
 'người' 'phụ_nữ' 'VN' 'này' '.']",[0 0 0 0 5 0 5 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0]
"['Anh' 'Hương' 'đưa' 'những' 'loại' 'sản_phẩm' 'mà' 'hiện' 'khách_hàng'
 'nước_ngoài' 'đang' 'rất' 'ưa' 'dùng' ',' 'nói' ':' '""' 'Cả' 'nhà' 'tui'
 'mỗi' 'ngày' 'đan' 'được' 'bốn' 'bộ' 'này' ',' 'thu' 'về' '72.000' 'đồng'
 '.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['30.7.69'],[0]
"['Về' 'cải_cách' 'hành_chính' ':' 'Tập_trung' 'chấn_chỉnh' 'mạnh' 'hơn'
 'nữa' 'kỷ_cương' ',' 'kỷ_luật' 'trong' 'bộ_máy' 'hành_chính' ',' 'nâng'
 'cao' 'tinh_thần' 'trách_nhiệm' 'và' 'ý_thức' 'kỷ_luật' 'của' 'CB' '-'
 'CC' ',' 'nhất_là' 'trên' 'lĩnh_vực' 'nhà_đất' ',' 'đầu_tư' ','
 'kinh_doanh' ',' 'trật_tự' 'xây_dựng' 'và' 'giải_quyết' 'khiếu_nại' ','
 'tố_cáo' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
"['Nên' 'mới' 'có' 'chuyện' ',' 'có' 'cô' 'cậu' 'ngủ' 'liều' ',' 'bố_mẹ'
 'xua' 'dậy' 'thì' 'phải' 'dậy' 'nhưng' ',' 'lần' 'cửa' 'trước' ',' 'ra'
 'cửa' 'sau' ',' 'chờ' 'mọi' 'người' 'trong' 'gia_đình' 'chạy' 'nhập'
 'vào' 'đường' 'chạy' 'của' 'làng' 'là' 'lại' 'tót' 'lên' 'giường' 'ngủ'
 '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
['Thương' 'người' 'như_thể' 'thương' 'thân' '.'],[0 0 0 0 0 0]
"['(' '*' ')' 'Sách' 'do' 'Nhà_xuất_bản' 'Thanh_Niên' 'phát_hành' 'tháng'
 '5-2005' ',' 'Tuổi_Trẻ' 'trích' 'đăng' 'và' 'tạm' 'đặt' 'tên' 'cho' 'mỗi'
 'kỳ' '.']",[0 0 0 0 0 3 4 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0]
['Vì_sao' 'họ' 'đã' 'làm' 'điều' 'đó' '?'],[0 0 0 0 0 0 0]
"['Ở' 'các' 'xã' '“' 'nóng' '“' 'Hưng_Long' ',' 'Hưng_Lịnh' ',' 'Hưng_Xá'
 '...' 'làng' 'quê' 'vẫn' 'thật' 'thanh_bình' 'nhưng' 'phần' 'bão_tố'
 'thì' 'cũng' 'dễ_dàng' 'nhận' 'thấy' 'qua' 'tin_tức' 'những' 'tay' 'buôn'
 'ma_tuý' 'đã' 'và' 'đang' 'chuẩn_bị' 'đền_tội' '.']",[0 0 0 0 0 0 5 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['Con_người' 'này' 'là' 'ai' '?'],[0 0 0 0 0]
"['Nhìn' 'những' 'khuôn_mặt' 'rất' 'trẻ' 'của' 'họ' ',' 'nghĩ' 'đến'
 'những' 'bất_trắc' 'vốn' 'chứa' 'đầy' 'nơi' 'các' 'hầm' 'đào' 'vàng'
 'giữa' 'thăm_thẳm' 'Trường_Sơn' ',' 'nhớ' 'lại' 'những' 'cái' 'chết'
 'của' '49' 'người' 'đào' 'vàng' 'cũng' 'vì' 'lũ' 'làm' 'lở' 'núi' 'vùi'
 'lấp' 'trại' 'hồi' 'năm' '1997' 'ở' 'bãi' 'vàng' 'Phước_Chánh' '(' 'kề'
 'Phước_Thành' ')' '...' 'tôi' 'không' 'khỏi' 'chạnh_lòng' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0]"
"['Chị' 'đang' 'tìm' 'một_vài' 'bức' 'ảnh' 'của' 'gia_đình' 'mình' 'những'
 'ngày' 'còn' 'bé' 'với' 'một' 'hi_vọng' 'tràn_trề' ':' '“' 'Một' 'người'
 'bạn' 'của' 'tôi' 'đã' 'tìm' 'được' 'ảnh' 'của' 'mình' 'rồi' 'đấy' ','
 'sao' 'tôi' 'lại' 'không_thể' 'may_mắn' 'như' 'cô' 'ấy' '?' '”' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
"['Lớp' 'tại_chức' 'buổi' 'tối' 'khá' 'lộn_xộn' 'và' 'ít' 'biết' 'mặt'
 'nhau' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Ông_bà' 'Hồng' 'xem' 'phim' ',' 'ảnh' 'đã' 'xác_nhận' 'đúng' 'là' 'con'
 'mình' '.']",[0 1 0 0 0 0 0 0 0 0 0 0 0]
['Đó' 'là' 'ước_mơ' 'và' 'quyết_tâm' 'của' 'nàng' 'dâu' 'tuổi' '30' '.'],[0 0 0 0 0 0 0 0 0 0 0]
"['Nhưng' 'chúng_tôi' 'không' 'ai' 'dám' 'đụng' 'đến' 'vì' 'biết' 'nó'
 'quí' 'lắm' ',' 'chỉ' 'dám' 'đi' 'quanh_quanh' 'nhìn' 'ngắm' ','
 'biết_đâu' 'sau_này' 'người_ta' 'còn' 'khai_thác' 'du_lịch' 'để'
 'du_khách' 'xuống' 'ngắm' 'nữa' 'chứ' '?']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Hình_ảnh' 'đầu_tiên' 'đập' 'vào' 'mắt' 'tôi' 'khi' 'đi' 'dọc' 'theo'
 'các' 'tuyến' 'đường' 'Lương' 'Văn' 'Can' ',' 'Lưu' 'Hữu' 'Phước' ','
 'Bình_Đông' 'là' 'những' 'đống' 'vỏ' 'bao' 'xi-măng' 'cao_ngất' 'chất'
 'đầy' 'mỗi' 'nhà' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 5 6 6 6 0 5 6 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0]
"['Mình' 'trút' 'bỏ' 'không' 'thương_tiếc' ',' 'và' 'trìu_mến' 'khoác'
 'lên' 'mình' 'màu' 'xanh' 'ấy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Ông' 'bắt_đầu' 'câu_chuyện' 'về' 'nỗi' 'đau' 'da_cam' 'không' 'phải'
 'từ' 'mình' 'mà' 'từ' 'một' 'người' 'khác' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['Hai' 'nhà' 'kín_cổng_cao_tường' 'và' 'không' 'chung_đụng' 'thứ' 'gì' '.'],[0 0 0 0 0 0 0 0 0]
"['Nhưng' 'Thư' 'không_thể' 'lấy' 'lại' 'được' 'thăng_bằng' 'và' 'Nhu'
 'biết' 'vợ' 'mình' 'đang' 'âm_thầm' 'tìm' 'cách' 'trả_thù' 'Liên' '.']",[0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0]
"['Không_tài_nào' 'xác_định' 'bao_nhiêu' 'cánh' 'rừng' 'bị' 'tàn_phá' ','
 'chỉ' 'biết' 'giờ_đây' 'đứng' 'nhìn' 'thì' '""' 'tầm_nhìn_xa' 'trên' '10'
 'km' '""' 'là' 'rẫy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Chơi' 'đá' 'gà' 'đã' 'khiến' 'không' 'ít' 'kẻ' 'bị' 'khuynh_gia_bại_sản'
 'và' 'cũng' 'có' 'không' 'ít' 'người' 'sống' 'bám' 'vào' 'nó' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Họ' 'đã' 'nguyện' 'dâng' 'cuộc_đời' 'mình' 'cho' 'việc' 'xoa_dịu'
 'những' 'nỗi' 'đau' 'của' 'con_người' 'và' 'làm_việc' 'đó' 'với' 'tất_cả'
 'tâm_lực' ':' 'đấu_tranh' 'cắt' 'bỏ' 'song' 'sắt' 'ô' 'vuông' 'trước'
 'cửa' 'các' 'phòng' 'bệnh' ',' 'bù' 'thêm' 'tiền' 'để' 'đổi' 'loại' 'gạo'
 'ngon' 'hơn' 'cho' 'bệnh_nhân' ',' 'tự' 'tay' 'chọn' 'món' ',' 'nấu_ăn'
 ',' 'làm' 'yaourt' ',' 'tự' 'tay' 'đút' 'cho' 'người_bệnh' 'từng' 'viên'
 'thuốc' ',' 'thìa' 'cháo' '...']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
['Hay' 'không' '?'],[0 0 0]
"['""' 'sao' 'bà' 'ta' 'lại' 'thích' 'nhà' 'của' 'ông' '?' '""' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Muốn' 'vậy' ',' 'điểm' 'mấu_chốt' 'là' 'phải' 'quản_lý' 'được' 'nguồn'
 'nước' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Mười' 'năm' 'qua' ',' 'các' 'ĐĐV' 'đã' 'tiếp_cận' 'hơn' '58.000' 'lượt'
 'người' ',' 'cấp' '444.700' 'bao_cao_su' 'và' 'hơn' '11.200'
 'bơm_kim_tiêm' ',' '152.480' 'tờ' 'bướm' 'tuyên_truyền' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Phong_cách' 'rất' '""' 'tình_tứ' '""' 'và' 'lối' 'đánh' 'không' 'tuân_thủ'
 'theo' 'chuẩn_mực' 'nào' 'càng' 'giúp' 'Nong_Tum' 'nổi_tiếng' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"['Ở' 'Côn_Đảo' ',' 'lâu_lâu' 'lại' 'bị' 'gọi' 'về' 'Sài_Gòn' 'tra_khảo'
 ',' 'khai_thác' '.']",[0 5 0 0 0 0 0 0 5 0 0 0 0]
"['Cùng' 'Lân' 'ra' 'ngồi' 'bên' 'sông' 'Mekong' 'nhìn' 'con_nước' 'xuôi'
 'về' 'đất' 'Việt' ',' 'nghe' 'anh' 'kể' 'bao' 'chuyện' 'buồn_vui' 'khi'
 'sống' 'nơi' 'đất_khách_quê_người' '.']",[0 1 0 0 0 5 6 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0]
